date,gap
1/31/1948,0.064723346
2/29/1948,0.07149795
3/31/1948,0.057549552
4/30/1948,0.027579759
5/31/1948,0.050386048
6/30/1948,0.046808154
7/31/1948,0.016846077
8/31/1948,0.034438139
9/30/1948,0.036089906
10/31/1948,0.048026487
11/30/1948,0.039320055
12/31/1948,0.051103164
1/31/1949,0.02183492
2/28/1949,0.007806304
3/31/1949,-0.022416687
4/30/1949,-0.058938878
5/31/1949,-0.090818984
6/30/1949,-0.123522595
7/31/1949,-0.169369429
8/31/1949,-0.130608932
9/30/1949,-0.122383401
10/31/1949,-0.155595907
11/30/1949,-0.129454305
12/31/1949,-0.098499722
1/31/1950,-0.074171789
2/28/1950,-0.099921375
3/31/1950,-0.070293044
4/30/1950,-0.052308144
5/31/1950,-0.02957865
6/30/1950,-0.01258127
7/31/1950,-0.005993762
8/31/1950,0.020200377
9/30/1950,0.05497412
10/31/1950,0.046762358
11/30/1950,0.052648799
12/31/1950,0.058450465
1/31/1951,0.068745633
2/28/1951,0.060673384
3/31/1951,0.079857083
4/30/1951,0.071872255
5/31/1951,0.072878779
6/30/1951,0.069393486
7/31/1951,0.029377022
8/31/1951,0.039753908
9/30/1951,0.045408815
10/31/1951,0.041933811
11/30/1951,0.029328895
12/31/1951,0.025859035
1/31/1952,0.022391748
2/29/1952,0.0235037
3/31/1952,0.033647209
4/30/1952,0.007407609
5/31/1952,-0.009970728
6/30/1952,-0.071133472
7/31/1952,-0.125357651
8/31/1952,-0.02971603
9/30/1952,0.017422757
10/31/1952,0.027341847
11/30/1952,0.037087286
12/31/1952,0.055247405
1/31/1953,0.060321674
2/28/1953,0.069519573
3/31/1953,0.074421678
4/30/1953,0.075133767
5/31/1953,0.071707635
6/30/1953,0.064143283
7/31/1953,0.022662734
8/31/1953,0.044777621
9/30/1953,0.015828476
10/31/1953,0.061861969
11/30/1953,0.043183799
12/31/1953,0.016428309
1/31/1954,-0.002850594
2/28/1954,-0.022382958
3/31/1954,-0.025783367
4/30/1954,-0.029181204
5/31/1954,-0.016447087
6/30/1954,-0.027871951
7/31/1954,-0.031262071
8/31/1954,-0.03464962
9/30/1954,-0.062525615
10/31/1954,-0.033384828
11/30/1954,-0.005265992
12/31/1954,-0.000921205
1/31/1955,0.003366981
2/28/1955,0.015146672
3/31/1955,0.026702779
4/30/1955,0.030715917
5/31/1955,0.041950318
6/30/1955,0.04580874
7/31/1955,0.049617976
8/31/1955,0.046261295
9/30/1955,0.050024654
10/31/1955,0.053740284
11/30/1955,0.064377562
12/31/1955,0.06103117
1/31/1956,0.05768735
2/29/1956,0.047377432
3/31/1956,0.037021184
4/30/1956,0.033685081
5/31/1956,0.03035155
6/30/1956,0.019953424
7/31/1956,-0.019479967
8/31/1956,0.013299223
9/30/1956,0.03102939
10/31/1956,0.034629163
11/30/1956,0.04500991
12/31/1956,0.041694384
1/31/1957,0.031555466
2/28/1957,0.028245085
3/31/1957,0.024937277
4/30/1957,0.014759161
5/31/1957,-0.002432615
6/30/1957,-0.005732707
7/31/1957,-0.002061558
8/31/1957,-0.005356505
9/30/1957,-0.00864888
10/31/1957,-0.025924925
11/30/1957,-0.05056528
12/31/1957,-0.075668986
1/31/1958,-0.10125683
2/28/1958,-0.127351022
3/31/1958,-0.14613215
4/30/1958,-0.165154877
5/31/1958,-0.160521494
6/30/1958,-0.140443355
7/31/1958,-0.12089533
8/31/1958,-0.094527613
9/30/1958,-0.097789122
10/31/1958,-0.093775298
11/30/1958,-0.075525457
12/31/1958,-0.071712081
1/31/1959,-0.067945728
2/28/1959,-0.064225706
3/31/1959,-0.046852494
4/30/1959,-0.036582277
5/31/1959,-0.019888993
6/30/1959,-0.003582755
7/31/1959,-0.019805736
8/31/1959,-0.049530565
9/30/1959,-0.059495239
10/31/1959,-0.062723308
11/30/1959,-0.065948805
12/31/1959,-0.018033402
1/31/1960,0.007733782
2/29/1960,-0.013502504
3/31/1960,-0.025850195
4/30/1960,-0.029062831
5/31/1960,-0.023140411
6/30/1960,-0.035480386
7/31/1960,-0.038685305
8/31/1960,-0.041887652
9/30/1960,-0.063606474
10/31/1960,-0.066803676
11/30/1960,-0.08886679
12/31/1960,-0.110319807
1/31/1961,-0.123255959
2/28/1961,-0.127422784
3/31/1961,-0.126693226
4/30/1961,-0.104801357
5/31/1961,-0.077959538
6/30/1961,-0.064637163
7/31/1961,-0.046227643
8/31/1961,-0.045846722
9/30/1961,-0.059710918
10/31/1961,-0.049525921
11/30/1961,-0.04388681
12/31/1961,-0.03745351
1/31/1962,-0.05020662
2/28/1962,-0.047246439
3/31/1962,-0.041726832
4/30/1962,-0.033714029
5/31/1962,-0.032601594
6/30/1962,-0.034048115
7/31/1962,-0.02958027
8/31/1962,-0.033563698
9/30/1962,-0.035016819
10/31/1962,-0.032277323
11/30/1962,-0.035410219
12/31/1962,-0.037704073
1/31/1963,-0.045861173
2/28/1963,-0.04814637
3/31/1963,-0.04041292
4/30/1963,-0.027058118
5/31/1963,-0.018802591
6/30/1963,-0.011471425
7/31/1963,-0.003454852
8/31/1963,-0.013704652
9/30/1963,-0.016015965
10/31/1963,-0.011986172
11/30/1963,-0.020949638
12/31/1963,-0.021687819
1/31/1964,-0.025571177
2/29/1964,-0.024739297
3/31/1964,-0.023139864
4/30/1964,-0.018458985
5/31/1964,-0.013067688
6/30/1964,-0.004705574
7/31/1964,-0.000981706
8/31/1964,0.001949951
9/30/1964,0.001865419
10/31/1964,-0.01777496
11/30/1964,0.003161032
12/31/1964,0.015539604
1/31/1965,0.017570066
2/28/1965,0.022463262
3/31/1965,0.028724794
4/30/1965,0.030650483
5/31/1965,0.0311396
6/30/1965,0.032323738
7/31/1965,0.041182225
8/31/1965,0.043689783
9/30/1965,0.029502166
10/31/1965,0.032045905
11/30/1965,0.042150039
12/31/1965,0.058173478
1/31/1966,0.065869483
2/28/1966,0.07213312
3/31/1966,0.079622605
4/30/1966,0.079859947
5/31/1966,0.085920157
