,CP,f1,f2,f3,f4,f5,f6,f7,f8,F5,F6,yr2,yr3,yr4,yr5
1/1/1964,-1.4338,-0.17483,-0.066179,-0.084153,-0.11658,-0.55531,0.13948,-0.27565,0.12957,1.4507,1.5453,-0.689506367,-0.623416267,-0.984942939,-0.790258232
2/1/1964,-1.3139,0.88942,-0.17834,-0.25373,0.70795,-0.15291,0.14777,-0.15828,-0.41665,-1.198,-0.9936,-0.690137549,-0.725111884,-1.065801782,-0.751890805
3/1/1964,0.035385,0.29846,0.36675,-0.63157,0.28747,-0.47425,0.79971,-0.65753,-1.1097,-0.636,-0.9884,-0.59935197,-0.901580327,-0.945417129,-1.243110093
4/1/1964,-0.4357,1.0406,-0.56057,0.55375,-0.51038,1.2301,0.047167,-0.26787,0.46571,0.1144,0.6997,-0.328061659,-0.487274102,-0.67872536,-1.02820157
5/1/1964,-0.49251,0.66406,-0.14724,0.24186,0.20619,0.52112,0.37885,-0.17149,-0.34042,-0.4313,-0.2628,-0.421575358,-0.341708011,-0.304491151,-0.558134213
6/1/1964,-0.86768,0.2571,0.26826,-0.56969,-0.10059,-0.17679,0.50642,-0.48654,-0.2195,0.3493,0.1015,-0.346593469,-0.073661517,0.053327405,-0.155391636
7/1/1964,-0.64975,1.0173,-0.39155,0.088732,0.18206,0.55831,0.47487,-0.098582,-1.2006,-1.6135,-1.2065,-0.006009362,0.175216287,0.123917415,-0.171160697
8/1/1964,-0.88455,0.71149,0.44156,-0.1207,0.74914,0.031501,0.87999,-1.1368,0.23063,-0.4394,-0.8562,-0.200179794,-0.136484973,-0.029161446,-0.259048084
9/1/1964,-0.83131,0.8266,0.34275,-0.4478,0.31583,0.28701,0.47403,-1.1721,-0.77881,-1.199,-1.5276,-0.266032171,-0.237986871,-0.092973471,-0.082826461
10/1/1964,-0.96594,-0.9712,0.91476,-0.54726,1.3158,-2.0409,0.39509,-2.2554,-2.2087,0.0015,-0.8998,-0.046845814,-0.147889555,0.129694553,0.230089597
11/1/1964,-1.544,2.2527,-0.36458,0.47539,-0.8651,2.5804,1.4222,0.65143,1.4683,0.3155,0.7096,-0.401860719,-0.490242925,-0.472977163,-0.386396317
12/1/1964,-2.4708,1.4142,-0.014857,0.61448,-0.27403,1.4813,-0.27717,-0.8679,0.4674,-0.4291,-0.3956,-0.063269178,0.079387157,0.275179626,0.194405487
1/1/1965,-3.0738,0.98967,0.21618,0.17711,0.23245,1.1814,0.5968,-1.023,-0.55879,-1.0963,-1.2988,-0.082249643,0.171884609,0.160464302,0.232928886
2/1/1965,-3.6496,0.46646,0.40242,0.48086,0.6023,0.20177,0.71416,-0.62407,-0.63716,-0.5275,-0.9147,-0.189959593,0.058662036,0.104760513,0.158984376
3/1/1965,-3.1346,1.3925,0.29954,-0.15245,0.083179,1.233,0.85843,-0.95398,-0.42384,-1.4355,-1.7222,0.101442058,0.411909597,0.596312544,0.43874326
