KYTREASNOX,TIDXFAM,TTERMTYPE,MCALDT,TMNOMPRC,TMYTM
2000001,RISKFREE,30,,,
2000002,RISKFREE,90,,,
2000003,FIXEDTERM,112,,,
2000004,FIXEDTERM,212,,,
2000005,FIXEDTERM,512,,,
2000006,FIXEDTERM,712,,,
2000007,FIXEDTERM,1012,,,
2000008,FIXEDTERM,2012,,,
2000009,FIXEDTERM,3012,,,
2000010,TERMSTRUCT,1201,,,
2000011,TERMSTRUCT,1202,,,
2000012,TERMSTRUCT,1203,,,
2000013,TERMSTRUCT,1204,,,
2000014,TERMSTRUCT,1205,,,
2000015,TERMSTRUCT,1206,,,
2000016,TERMSTRUCT,1207,,,
2000017,TERMSTRUCT,1208,,,
2000018,TERMSTRUCT,1209,,,
2000019,TERMSTRUCT,1210,,,
2000020,TERMSTRUCT,1211,,,
2000021,TERMSTRUCT,1212,,,
2000022,TERMSTRUCT,601,,,
2000023,TERMSTRUCT,602,,,
2000024,TERMSTRUCT,603,,,
2000025,TERMSTRUCT,604,,,
2000026,TERMSTRUCT,605,,,
2000027,TERMSTRUCT,606,,,
2000028,BONDMATPORT,6006,,,
2000029,BONDMATPORT,6012,,,
2000030,BONDMATPORT,6018,,,
2000031,BONDMATPORT,6024,,,
2000032,BONDMATPORT,6030,,,
2000033,BONDMATPORT,6036,,,
2000034,BONDMATPORT,6042,,,
2000035,BONDMATPORT,6048,,,
2000036,BONDMATPORT,6054,,,
2000037,BONDMATPORT,6060,,,
2000038,BONDMATPORT,6120,,,
2000039,BONDMATPORT,6121,,,
2000040,BONDMATPORT,12012,,,
2000041,BONDMATPORT,12024,,,
2000042,BONDMATPORT,12036,,,
2000043,BONDMATPORT,12048,,,
2000044,BONDMATPORT,12060,,,
2000047,DISCBOND,5001,06/30/1952,98.17776251,1.839044729
2000047,DISCBOND,5001,07/31/1952,98.09475603,1.923627621
2000047,DISCBOND,5001,08/29/1952,98.05780767,1.950612419
2000047,DISCBOND,5001,09/30/1952,98.03118757,1.988451739
2000047,DISCBOND,5001,10/31/1952,98.1107691,1.912544804
2000047,DISCBOND,5001,11/28/1952,97.95538599,2.054547797
2000047,DISCBOND,5001,12/31/1952,98.02174548,1.998083928
2000047,DISCBOND,5001,01/30/1953,98.05115153,1.973495836
2000047,DISCBOND,5001,02/27/1953,97.95039747,2.076587748
2000047,DISCBOND,5001,03/31/1953,97.94715845,2.07420522
2000047,DISCBOND,5001,04/30/1953,97.66352767,2.364200601
2000047,DISCBOND,5001,05/29/1953,97.44503218,2.595284427
2000047,DISCBOND,5001,06/30/1953,97.60831664,2.420748472
2000047,DISCBOND,5001,07/31/1953,97.74026677,2.291935858
2000047,DISCBOND,5001,08/31/1953,97.6566148,2.371279112
2000047,DISCBOND,5001,09/30/1953,97.99623855,2.024109021
2000047,DISCBOND,5001,10/30/1953,98.35431068,1.663940025
2000047,DISCBOND,5001,11/30/1953,98.43556197,1.576804511
2000047,DISCBOND,5001,12/31/1953,98.43783401,1.574496384
2000047,DISCBOND,5001,01/29/1954,98.84636818,1.15401441
2000047,DISCBOND,5001,02/26/1954,98.89973926,1.100329172
2000047,DISCBOND,5001,03/31/1954,98.94708794,1.058494401
2000047,DISCBOND,5001,04/30/1954,99.16824417,0.83752886
2000047,DISCBOND,5001,05/28/1954,99.14870722,0.847967372
2000047,DISCBOND,5001,06/30/1954,99.27101051,0.7316596
2000047,DISCBOND,5001,07/30/1954,99.37091332,0.632807512
2000047,DISCBOND,5001,08/31/1954,99.17936527,0.824020476
2000047,DISCBOND,5001,09/30/1954,99.06533316,0.939062263
2000047,DISCBOND,5001,10/29/1954,98.9539201,1.045859036
2000047,DISCBOND,5001,11/30/1954,98.96332126,1.042089687
2000047,DISCBOND,5001,12/31/1954,98.87062214,1.138924153
2000047,DISCBOND,5001,01/31/1955,98.71532535,1.292997954
2000047,DISCBOND,5001,02/28/1955,98.35463198,1.654521635
2000047,DISCBOND,5001,03/31/1955,98.45783882,1.558445955
2000047,DISCBOND,5001,04/29/1955,98.37432491,1.630102096
2000047,DISCBOND,5001,05/31/1955,98.19976616,1.811671743
2000047,DISCBOND,5001,06/30/1955,98.17769133,1.839117234
2000047,DISCBOND,5001,07/29/1955,97.99916657,2.004644615
2000047,DISCBOND,5001,08/31/1955,97.8764101,2.140597858
2000047,DISCBOND,5001,09/30/1955,98.02677055,1.998432823
2000047,DISCBOND,5001,10/31/1955,97.94596896,2.069749155
2000047,DISCBOND,5001,11/30/1955,97.45355189,2.572383666
2000047,DISCBOND,5001,12/30/1955,97.36762623,2.653103455
2000047,DISCBOND,5001,01/31/1956,97.65102113,2.370512667
2000047,DISCBOND,5001,02/29/1956,97.52002825,2.511241114
2000047,DISCBOND,5001,03/29/1956,97.51251242,2.51894837
2000047,DISCBOND,5001,04/30/1956,97.10146508,2.941372249
2000047,DISCBOND,5001,05/31/1956,97.20956291,2.830109547
2000047,DISCBOND,5001,06/29/1956,97.49626617,2.549580683
2000047,DISCBOND,5001,07/31/1956,97.32037934,2.716177027
2000047,DISCBOND,5001,08/31/1956,96.93206196,3.124545042
2000047,DISCBOND,5001,09/28/1956,96.8521597,3.181019443
2000047,DISCBOND,5001,10/31/1956,96.9671007,3.079843306
2000047,DISCBOND,5001,11/30/1956,96.6396507,3.427497182
2000047,DISCBOND,5001,12/31/1956,96.61438303,3.444256324
2000047,DISCBOND,5001,01/31/1957,97.07061886,2.973144288
2000047,DISCBOND,5001,02/28/1957,96.81676084,3.235005754
2000047,DISCBOND,5001,03/29/1957,96.65975649,3.378789956
2000047,DISCBOND,5001,04/30/1957,96.58317926,3.476558763
2000047,DISCBOND,5001,05/31/1957,96.58591981,3.492860175
2000047,DISCBOND,5001,06/27/1957,96.4541568,3.580803645
2000047,DISCBOND,5001,07/31/1957,96.18824567,3.886302222
2000047,DISCBOND,5001,08/30/1957,96.19428641,3.890681864
2000047,DISCBOND,5001,09/30/1957,96.04316258,4.037248541
2000047,DISCBOND,5001,10/31/1957,96.25436258,3.817588837
2000047,DISCBOND,5001,11/29/1957,96.62366527,3.444085273
2000047,DISCBOND,5001,12/31/1957,97.3499938,2.685751785
2000047,DISCBOND,5001,01/31/1958,97.96960425,2.056927122
2000047,DISCBOND,5001,02/28/1958,98.2856342,1.733981906
2000047,DISCBOND,5001,03/31/1958,98.51483915,1.496299792
2000047,DISCBOND,5001,04/30/1958,98.73278673,1.275310901
2000047,DISCBOND,5001,05/29/1958,98.88678796,1.119454623
2000047,DISCBOND,5001,06/30/1958,98.90606235,1.099965151
2000047,DISCBOND,5001,07/31/1958,98.39991007,1.613029582
2000047,DISCBOND,5001,08/29/1958,97.24960495,2.773728056
2000047,DISCBOND,5001,09/30/1958,97.06383217,2.980136027
2000047,DISCBOND,5001,10/31/1958,97.02030179,3.033303818
2000047,DISCBOND,5001,11/28/1958,96.81206686,3.222198295
2000047,DISCBOND,5001,12/31/1958,97.08952891,2.953665477
2000047,DISCBOND,5001,01/30/1959,96.94690583,3.109190465
2000047,DISCBOND,5001,02/27/1959,96.5968422,3.443544729
2000047,DISCBOND,5001,03/31/1959,96.50810609,3.544606855
2000047,DISCBOND,5001,04/30/1959,96.28124272,3.789666585
2000047,DISCBOND,5001,05/29/1959,96.19938058,3.843139227
2000047,DISCBOND,5001,06/30/1959,95.98839523,4.083101996
2000047,DISCBOND,5001,07/31/1959,95.7766835,4.326946625
2000047,DISCBOND,5001,08/31/1959,95.60344971,4.483843776
2000047,DISCBOND,5001,09/30/1959,95.31034616,4.790058371
2000047,DISCBOND,5001,10/30/1959,95.88539606,4.17875259
2000047,DISCBOND,5001,11/30/1959,95.28712462,4.814358905
2000047,DISCBOND,5001,12/31/1959,95.25576305,4.860466938
2000047,DISCBOND,5001,01/29/1960,95.43657522,4.632751821
2000047,DISCBOND,5001,02/29/1960,95.54447153,4.557837646
2000047,DISCBOND,5001,03/31/1960,96.45174396,3.622661795
2000047,DISCBOND,5001,04/29/1960,95.94899371,4.146706151
2000047,DISCBOND,5001,05/31/1960,96.0485349,4.031655045
2000047,DISCBOND,5001,06/30/1960,96.88079038,3.168892842
2000047,DISCBOND,5001,07/29/1960,97.1883741,2.836367231
2000047,DISCBOND,5001,08/31/1960,97.14359024,2.897999036
2000047,DISCBOND,5001,09/30/1960,97.20076709,2.846958282
2000047,DISCBOND,5001,10/31/1960,97.21235519,2.827237158
2000047,DISCBOND,5001,11/30/1960,97.03378439,3.011097548
2000047,DISCBOND,5001,12/30/1960,97.40654211,2.634900035
2000047,DISCBOND,5001,01/31/1961,97.2552651,2.78310651
2000047,DISCBOND,5001,02/28/1961,97.069369,2.974431879
2000047,DISCBOND,5001,03/30/1961,97.14514104,2.896402646
2000047,DISCBOND,5001,04/28/1961,97.15357689,2.871982368
2000047,DISCBOND,5001,05/31/1961,97.11331967,2.929164538
2000047,DISCBOND,5001,06/30/1961,97.05458375,2.997878169
2000047,DISCBOND,5001,07/31/1961,97.15130905,2.89005357
2000047,DISCBOND,5001,08/31/1961,96.99840158,3.047568615
2000047,DISCBOND,5001,09/29/1961,97.07435255,2.977455546
2000047,DISCBOND,5001,10/31/1961,97.10541005,2.937309596
2000047,DISCBOND,5001,11/30/1961,97.07383635,2.96982976
2000047,DISCBOND,5001,12/29/1961,96.92184848,3.109483526
2000047,DISCBOND,5001,01/31/1962,96.76127972,3.29232746
2000047,DISCBOND,5001,02/28/1962,96.91387358,3.134750317
2000047,DISCBOND,5001,03/30/1962,97.16235694,2.88659098
2000047,DISCBOND,5001,04/30/1962,97.03858222,3.006153178
2000047,DISCBOND,5001,05/31/1962,97.09980174,2.943085248
2000047,DISCBOND,5001,06/29/1962,96.9836301,3.071212776
2000047,DISCBOND,5001,07/31/1962,96.74597854,3.308142045
2000047,DISCBOND,5001,08/31/1962,97.01951879,3.034113079
2000047,DISCBOND,5001,09/28/1962,97.06490784,2.962793342
2000047,DISCBOND,5001,10/31/1962,97.12025783,2.922020394
2000047,DISCBOND,5001,11/30/1962,97.12836437,2.921678564
2000047,DISCBOND,5001,12/31/1962,97.06594149,2.97796293
2000047,DISCBOND,5001,01/31/1963,97.01595918,3.029469339
2000047,DISCBOND,5001,02/28/1963,97.08240756,2.961000565
2000047,DISCBOND,5001,03/29/1963,96.99406584,3.027157841
2000047,DISCBOND,5001,04/30/1963,96.94062523,3.098661184
2000047,DISCBOND,5001,05/31/1963,96.91587428,3.149945823
2000047,DISCBOND,5001,06/28/1963,96.89774732,3.125700749
2000047,DISCBOND,5001,07/31/1963,96.56350961,3.487371984
2000047,DISCBOND,5001,08/30/1963,96.36058565,3.687089818
2000047,DISCBOND,5001,09/30/1963,96.36033267,3.697425743
2000047,DISCBOND,5001,10/31/1963,96.39994268,3.666457897
2000047,DISCBOND,5001,11/29/1963,96.2586388,3.792366213
2000047,DISCBOND,5001,12/31/1963,96.23325064,3.829034315
2000047,DISCBOND,5001,01/31/1964,96.29158493,3.789307327
2000047,DISCBOND,5001,02/28/1964,96.1398658,3.947426983
2000047,DISCBOND,5001,03/31/1964,96.16501777,3.910453515
2000047,DISCBOND,5001,04/30/1964,96.28773988,3.782918699
2000047,DISCBOND,5001,05/28/1964,96.24023247,3.832269883
2000047,DISCBOND,5001,06/30/1964,96.29099389,3.779539295
2000047,DISCBOND,5001,07/31/1964,96.32088241,3.758802585
2000047,DISCBOND,5001,08/31/1964,96.25875075,3.813030012
2000047,DISCBOND,5001,09/30/1964,96.17763956,3.897329232
2000047,DISCBOND,5001,10/30/1964,96.17946437,3.906133826
2000047,DISCBOND,5001,11/30/1964,95.87347521,4.214083042
2000047,DISCBOND,5001,12/31/1964,96.03062477,4.050303742
2000047,DISCBOND,5001,01/29/1965,95.98338671,4.077165823
2000047,DISCBOND,5001,02/26/1965,95.86105412,4.204003937
2000047,DISCBOND,5001,03/31/1965,95.94444318,4.140087895
2000047,DISCBOND,5001,04/30/1965,95.99613684,4.097449734
2000047,DISCBOND,5001,05/28/1965,95.97244305,4.07739583
2000047,DISCBOND,5001,06/30/1965,96.10159773,3.976424446
2000047,DISCBOND,5001,07/30/1965,96.07239742,4.017821802
2000047,DISCBOND,5001,08/31/1965,95.91402894,4.171792759
2000047,DISCBOND,5001,09/30/1965,95.74673885,4.346361748
2000047,DISCBOND,5001,10/29/1965,95.71833465,4.352184529
2000047,DISCBOND,5001,11/30/1965,95.66055277,4.436416927
2000047,DISCBOND,5001,12/31/1965,95.24448254,4.885695663
2000047,DISCBOND,5001,01/31/1966,95.19923831,4.919824517
2000047,DISCBOND,5001,02/28/1966,95.14217171,4.979786882
2000047,DISCBOND,5001,03/31/1966,95.18909896,4.930475753
2000047,DISCBOND,5001,04/29/1966,95.14527806,4.990193957
2000047,DISCBOND,5001,05/31/1966,95.03701379,5.09037514
2000047,DISCBOND,5001,06/30/1966,95.02180493,5.10637952
2000047,DISCBOND,5001,07/29/1966,94.86199963,5.245953636
2000047,DISCBOND,5001,08/31/1966,94.24111273,5.931365872
2000047,DISCBOND,5001,09/30/1966,94.19205404,5.999874272
2000047,DISCBOND,5001,10/31/1966,94.45909536,5.700329853
2000047,DISCBOND,5001,11/30/1966,94.70750019,5.437698942
2000047,DISCBOND,5001,12/30/1966,95.12372423,5.012912366
2000047,DISCBOND,5001,01/31/1967,95.49326331,4.611448226
2000047,DISCBOND,5001,02/28/1967,95.43516559,4.659540583
2000047,DISCBOND,5001,03/31/1967,95.9552195,4.140199891
2000047,DISCBOND,5001,04/28/1967,96.01844409,4.029866464
2000047,DISCBOND,5001,05/31/1967,96.10616766,3.96081778
2000047,DISCBOND,5001,06/30/1967,95.077903,5.06122648
2000047,DISCBOND,5001,07/31/1967,95.01833283,5.09607186
2000047,DISCBOND,5001,08/31/1967,94.87684945,5.259045692
2000047,DISCBOND,5001,09/29/1967,94.75495919,5.358240135
2000047,DISCBOND,5001,10/31/1967,94.61675281,5.518444563
2000047,DISCBOND,5001,11/30/1967,94.34509332,5.821092065
2000047,DISCBOND,5001,12/29/1967,94.18355576,5.943607051
2000047,DISCBOND,5001,01/31/1968,94.66249881,5.470239582
2000047,DISCBOND,5001,02/29/1968,94.62131901,5.528737582
2000047,DISCBOND,5001,03/29/1968,94.4877711,5.685553731
2000047,DISCBOND,5001,04/30/1968,94.26139113,5.909850614
2000047,DISCBOND,5001,05/31/1968,94.15426793,6.056747575
2000047,DISCBOND,5001,06/28/1968,94.24013842,5.900070569
2000047,DISCBOND,5001,07/31/1968,94.74805402,5.394888031
2000047,DISCBOND,5001,08/30/1968,94.79271609,5.362453307
2000047,DISCBOND,5001,09/30/1968,94.76833374,5.373486481
2000047,DISCBOND,5001,10/31/1968,94.53007059,5.625219481
2000047,DISCBOND,5001,11/29/1968,94.36546125,5.8154386
2000047,DISCBOND,5001,12/31/1968,93.71895976,6.486967184
2000047,DISCBOND,5001,01/31/1969,94.1016401,6.09617314
2000047,DISCBOND,5001,02/28/1969,93.58189448,6.651549341
2000047,DISCBOND,5001,03/28/1969,93.66733365,6.488736284
2000047,DISCBOND,5001,04/30/1969,94.00791564,6.179119829
2000047,DISCBOND,5001,05/29/1969,93.72537081,6.4801267
2000047,DISCBOND,5001,06/30/1969,92.90915793,7.354796663
2000047,DISCBOND,5001,07/31/1969,92.92451053,7.33827372
2000047,DISCBOND,5001,08/29/1969,92.60902815,7.63651138
2000047,DISCBOND,5001,09/30/1969,92.49722353,7.799155783
2000047,DISCBOND,5001,10/31/1969,92.91472563,7.368993568
2000047,DISCBOND,5001,11/28/1969,92.37964933,7.883152324
2000047,DISCBOND,5001,12/31/1969,92.28937607,8.024115329
2000047,DISCBOND,5001,01/30/1970,92.33178795,8.000088972
2000047,DISCBOND,5001,02/27/1970,93.3326799,6.918943575
2000047,DISCBOND,5001,03/31/1970,93.60742911,6.606043483
2000047,DISCBOND,5001,04/30/1970,92.78618301,7.487244731
2000047,DISCBOND,5001,05/29/1970,92.85396555,7.434588051
2000047,DISCBOND,5001,06/30/1970,93.06499912,7.187202169
2000047,DISCBOND,5001,07/31/1970,93.43768747,6.806189003
2000047,DISCBOND,5001,08/31/1970,93.43000035,6.795768944
2000047,DISCBOND,5001,09/30/1970,93.62263885,6.589796374
2000047,DISCBOND,5001,10/30/1970,93.89190599,6.319915287
2000047,DISCBOND,5001,11/30/1970,95.03194431,5.095709498
2000047,DISCBOND,5001,12/31/1970,95.2347225,4.88255785
2000047,DISCBOND,5001,01/29/1971,95.7591131,4.309823173
2000047,DISCBOND,5001,02/26/1971,96.26888881,3.771499791
2000047,DISCBOND,5001,03/31/1971,96.31389483,3.755759073
2000047,DISCBOND,5001,04/30/1971,95.56468443,4.549148012
2000047,DISCBOND,5001,05/28/1971,95.17737523,4.889212301
2000047,DISCBOND,5001,06/30/1971,94.10841721,6.055678614
2000047,DISCBOND,5001,07/30/1971,94.04134794,6.110082961
2000047,DISCBOND,5001,08/31/1971,94.855666,5.266945628
2000047,DISCBOND,5001,09/30/1971,94.86876193,5.267570287
2000047,DISCBOND,5001,10/29/1971,95.48177789,4.585784967
2000047,DISCBOND,5001,11/30/1971,95.35891598,4.7392509
2000047,DISCBOND,5001,12/31/1971,95.91803114,4.179069851
2000047,DISCBOND,5001,01/31/1972,95.94858161,4.124474787
2000047,DISCBOND,5001,02/29/1972,95.80250245,4.28813797
2000047,DISCBOND,5001,03/30/1972,95.18527963,4.934488187
2000047,DISCBOND,5001,04/28/1972,95.56699773,4.509553865
2000047,DISCBOND,5001,05/31/1972,95.4780544,4.627376181
2000047,DISCBOND,5001,06/30/1972,94.90123326,5.247726071
2000047,DISCBOND,5001,07/31/1972,95.17388915,4.946455546
2000047,DISCBOND,5001,08/31/1972,94.66564125,5.481906842
2000047,DISCBOND,5001,09/29/1972,94.52705871,5.643868598
2000047,DISCBOND,5001,10/31/1972,94.61366314,5.536828973
2000047,DISCBOND,5001,11/30/1972,94.75035156,5.392463164
2000047,DISCBOND,5001,12/29/1972,94.59652829,5.524668779
2000047,DISCBOND,5001,01/31/1973,94.04102492,6.143906358
2000047,DISCBOND,5001,02/28/1973,93.7964886,6.404276564
2000047,DISCBOND,5001,03/30/1973,93.32235604,6.930035934
2000047,DISCBOND,5001,04/30/1973,93.51867882,6.700899616
2000047,DISCBOND,5001,05/31/1973,93.29142694,6.944196935
2000047,DISCBOND,5001,06/29/1973,92.74128573,7.556346985
2000047,DISCBOND,5001,07/31/1973,91.73550754,8.626066755
2000047,DISCBOND,5001,08/31/1973,91.99495639,8.366565703
2000047,DISCBOND,5001,09/28/1973,92.58712558,7.66003585
2000047,DISCBOND,5001,10/31/1973,93.12589569,7.121789124
2000047,DISCBOND,5001,11/30/1973,92.86349812,7.424294184
2000047,DISCBOND,5001,12/31/1973,93.12355057,7.124307373
2000047,DISCBOND,5001,01/31/1974,93.34635091,6.885340715
2000047,DISCBOND,5001,02/28/1974,93.2202338,7.020538696
2000047,DISCBOND,5001,03/29/1974,92.16429734,8.11526886
2000047,DISCBOND,5001,04/30/1974,91.69495677,8.670280534
2000047,DISCBOND,5001,05/31/1974,92.04235266,8.314916952
