"Date","y0.25","y0.5","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15"
19710129,4.15,4.19,4.1806,4.7707,5.2395,5.5903,5.8492,6.0417,6.1874,NA,NA,NA,NA,NA,NA,NA,NA
19710226,3.4,3.56,3.6526,4.3001,4.8217,5.2101,5.4941,5.7034,5.8608,NA,NA,NA,NA,NA,NA,NA,NA
19710331,3.64,3.74,3.7679,4.2231,4.584,4.8727,5.1056,5.2951,5.4508,NA,NA,NA,NA,NA,NA,NA,NA
19710430,3.93,4.21,4.7168,5.3321,5.6775,5.8861,6.0211,6.1139,6.1811,NA,NA,NA,NA,NA,NA,NA,NA
19710528,4.34,4.56,4.9819,5.4942,5.8152,6.0254,6.169,6.2711,6.3464,NA,NA,NA,NA,NA,NA,NA,NA
19710630,5.22,5.42,6.0356,6.4732,6.6361,6.7183,6.7676,6.8005,6.824,NA,NA,NA,NA,NA,NA,NA,NA
19710730,5.31,5.7,6.0709,6.489,6.6844,6.7906,6.8556,6.8992,6.9303,NA,NA,NA,NA,NA,NA,NA,NA
19710831,4.44,4.76,5.1498,5.5307,5.7565,5.8982,5.9922,6.0578,6.1057,6.1419,6.1701,6.1928,NA,NA,NA,NA,NA
19710930,4.6,4.92,5.1603,5.5107,5.7152,5.8422,5.9257,5.9838,6.026,6.0579,6.0828,6.1028,NA,NA,NA,NA,NA
19711029,4.31,4.44,4.5242,4.9833,5.3157,5.5276,5.6652,5.7593,5.827,5.8779,5.9174,5.9491,NA,NA,NA,NA,NA
19711130,4.34,4.43,4.6539,5.0616,5.3648,5.5808,5.7347,5.8464,5.9295,5.9931,6.043,6.0831,6.1159,6.1433,6.1665,6.1864,6.2037
19711231,3.68,4.03,4.3542,4.7912,5.1087,5.3434,5.52,5.6554,5.761,5.8448,5.9123,5.9677,6.0136,6.0523,6.0852,6.1136,6.1382
19720131,3.35,3.73,4.243,4.9197,5.3311,5.5942,5.771,5.8953,5.9864,6.0556,6.1097,6.1531,6.1886,6.2183,6.2433,6.2648,6.2835
